full_sample_id,timepoint,date,species,month,site,file.name,series,histo company,scale,units,sex,StageI,StageII,StageIII,StageIV,StageV,Total gametes,Notes,
_FLD-10-TP3_,TP3,4/29/21,Astrangia poculata,April,,FLD-10-TP3.vsi,14,PP,3.6525,microns,female,0,11,16,0,0,27,,27
_FLD-8-TP3_,TP3,4/29/21,Astrangia poculata,April,,FLD-8-TP3.vsi,14,PP,3.6547,microns,female,2,2,0,0,0,4,,4
_FLD-12-TP3_,TP3,4/29/21,Astrangia poculata,April,,FLD-12-TP3.vsi,14,PP,3.6525,microns,NA,0,0,0,0,0,0,,0
_FLD-13-TP3_,TP3,4/29/21,Astrangia poculata,April,,FLD-13-TP3.vsi,14,PP,3.6547,microns,female,4,8,1,0,0,13,,13
_FLD-4-TP3_,TP3,4/29/21,Astrangia poculata,April,,FLD-4-TP3.vsi,14,PP,3.6547,microns,NA,0,0,0,0,0,0,,0
_FLD-2-TP3_,TP3,4/29/21,Astrangia poculata,April,,FLD-2-TP3.vsi,14,PP,3.6547,microns,NA,0,0,0,0,0,0,,0
_FLD-3-TP3_,TP3,4/29/21,Astrangia poculata,April,,FLD-3-TP3.vsi,14,PP,3.6547,microns,female,3,22,8,0,0,33,,33
_FLD-9-TP3_,TP3,4/29/21,Astrangia poculata,April,,FLD-9-TP3.vsi,14,PP,3.6547,microns,female,23,21,6,0,0,50,,50
_FLD-1_TP3_,TP3,4/29/21,Astrangia poculata,April,,FLD-1-TP3,22,PP,3.6547,microns,male,10,9,0,0,0,19,,19
_FLD-5-TP3_,TP3,4/29/21,Astrangia poculata,April,,FLD-5-TP3.vsi,14,PP,3.6547,microns,female,18,32,0,0,0,50,,50
_01FLD-3-TP4_,TP4,6/4/21,Astrangia poculata,June,,01FLD-3-TP4.vsi,14,PP,3.6547,microns,female,3,17,26,4,0,50,,50
_FLD-1-TP4_,TP4,6/4/21,Astrangia poculata,June,,FLD-1-TP4.vsi,19,PP,3.6547,microns,female,3,13,32,2,0,50,,50
_FLD-5-TP4_,TP4,6/4/21,Astrangia poculata,June,,Image_FLD_5_TP4_1.vsi,14,NOVA,3.6525,microns,female,0,30,9,0,0,39,,39
_FLD-2_TP4_,TP4,6/4/21,Astrangia poculata,June,,Image_training.vsi,14,PP,3.6547,microns,male,0,34,16,0,0,50,,50
_FLD-3-TP4_,TP4,6/4/21,Astrangia poculata,June,,FLD-3-TP4.vsi,22,PP,3.6547,microns,male,0,38,12,0,0,50,,50
_AST-FLD-TP4_,TP4,6/4/21,Astrangia poculata,June,,AST-FLD-TP4.vsi,14,PP,3.6547,microns,female,9,33,8,0,0,50,,50
_FLD-4-TP4-1_,TP4-1,6/4/21,Astrangia poculata,June,,Image_FLD_4_TP4.vsi,14,NOVA,7.3049,microns,female,0,32,18,0,0,50,Labelled FLD_4_TP4 but just no 1 and 2 from NOVA,50
_FLD-6-TP4-1_,TP4-1,6/4/21,Astrangia poculata,June,,Image_FLD_6_TP4.vsi,14,NOVA,7.3049,microns,female,5,35,10,0,0,50,Labelled FLD_6_TP4 but just no 1 and 2 from NOVA,50
_FLD-11-TP5_,TP5,6/26/21,Astrangia poculata,June,,01FLD-11-TP5.vsi,,PP,3.6525,microns,male,0,16,17,17,0,50,,50
_FLD-1_TP5_,TP5,6/26/21,Astrangia poculata,June,,Image_04.vsi,20,PP,3.6525,microns,NA,0,0,0,0,0,0,,0
_FLD-2_TP5_,TP5,6/26/21,Astrangia poculata,June,,Image.vsi,44,PP,3.6547,microns,male,0,0,26,24,0,50,,50
_FLD-10-TP5_,TP5,6/26/21,Astrangia poculata,June,,FLD-10-TP5.vsi,14,PP,3.6525,microns,female,0,9,16,25,0,50,,50
_FLD-3-TP5_,TP5,6/26/21,Astrangia poculata,June,,FLD-3-TP5.vsi,26,PP,3.6547,microns,male,0,17,23,10,0,50,,50
_FLD-7-TP5_,TP5,6/26/21,Astrangia poculata,June,,FLD-7-TP5.vsi,14,PP,3.6547,microns,female,0,9,0,0,0,9,,9
_FLD-6-TP5_,TP5,6/26/21,Astrangia poculata,June,,FLD-6-TP5.vsi,14,PP,3.6547,microns,female,0,10,37,3,0,50,,50
_FLD-TP5_,TP5,6/26/21,Astrangia poculata,June,,FLD-TP5.vsi,14,PP,3.6547,microns,NA,0,0,0,0,0,0,,0
_FLD-4-TP5_,TP5,6/26/21,Astrangia poculata,June,,FLD-4-TP5.vsi,14,PP,3.6547,microns,female,0,7,24,19,0,50,,50
_FLD-5-TP5_,TP5,6/26/21,Astrangia poculata,June,,FLD-5-TP5.vsi,14,PP,3.6547,microns,female,0,6,29,15,0,50,,50
_FLD-1-TP6_,TP5,7/24/21,Astrangia poculata,June,,FLD-1-TP6.vsi,14,PP,3.6547,microns,female,2,5,11,32,0,50,,50
_FLD-4-TP6_,TP6,7/24/21,Astrangia poculata,July,,FLD-4-TP6.vsi,14,PP,3.6547,microns,male,0,10,18,21,1,50,,50
_FLD-2-TP6_,TP6,7/24/21,Astrangia poculata,July,,FLD-2-TP6.vsi,14,PP,3.6547,microns,female,0,0,21,27,2,50,,50
_FLD-1-TP6_,TP6,7/24/21,Astrangia poculata,July,,FLD-1-TP6.vsi,14,PP,3.6547,microns,male,0,0,12,32,6,50,great photo of stage 5,50
_FLD-5-TP6_,TP6,7/24/21,Astrangia poculata,July,,FLD-5-TP6.vsi,14,PP,3.6547,microns,female,0,0,7,43,0,50,,50
_FLD-3_TP6_,TP6,7/24/21,Astrangia poculata,July,,FLD-3_TP6.vsi,14,PP,3.6547,microns,male,0,0,23,20,7,50,,50
_FLD-2-TP6_,TP6,7/24/21,Astrangia poculata,July,,FLD-2-TP6.vsi,14,PP,3.6547,microns,female,0,0,16,34,0,50,,50
_FLD-1-TP7_,TP7,9/2/21,Astrangia poculata,September,,FLD-1-TP7.vsi,14,PP,3.6547,microns,male,12,32,6,0,0,50,,50
_FLD-2-TP7_,TP7,9/2/21,Astrangia poculata,September,,FLD-2-TP7.vsi,14,PP,3.6547,microns,male,0,22,4,8,1,35,,35
_FLD-3-TP7_,TP7,9/2/21,Astrangia poculata,September,,Image_FLD_3-_TP7.vsi,20,NOVA,7.3049,microns,NA,0,0,0,0,0,0,,0
_FLD-4-TP7_,TP7,9/2/21,Astrangia poculata,September,,FLD-4-TP7.vsi,14,PP,3.6547,microns,male,0,0,0,6,4,10,,10
_FLD-5-TP7_,TP7,9/2/21,Astrangia poculata,September,,FLD-5-TP7.vsi,14,PP,3.6547,microns,female,6,5,3,36,0,50,,50
_FLD-6-TP7_,TP7,9/2/21,Astrangia poculata,September,,FLD-6-TP7.vsi,14,PP,3.6547,microns,male,10,14,14,3,2,43,,43
_FLD-7-TP7_,TP7,9/2/21,Astrangia poculata,September,,FLD-7-TP7.vsi,14,PP,3.6547,microns,NA,0,0,0,0,0,0,,0
_FLD-8-TP7_,TP7,9/2/21,Astrangia poculata,September,,FLD-8-TP7.vsi,14,PP,3.6547,microns,male,0,0,6,27,17,50,,50
_FLD-9-TP7_,TP7,9/2/21,Astrangia poculata,September,,Image_FLD_9_TP7_1.vsi,14,NOVA,3.6525,microns,female,0,0,0,7,3,10,,10
